País,Emissão,País,Emissão,País,Emissão
Afeganistão,"0,02",Equador,"0,54",Quirguistão,"0,33"
Albânia,"0,15",Egito,"0,40",Madagascar,"0,02"
Algéria,"0,89",El Salvador,"0,25",Malaui,"0,02"
Angola,"0,12",Estônia,"3,02",Malásia,"1,44"
Argentina,"1,02",Etiópia,"0,06",Mali,"0,01"
Armênia,"0,27",Gabão,"0,90",Mauritânia,"0,37"
Austrália,"4,43",Gâmbia,"0,05",Mauricio,"0,36"
Áustria,"2,01",Geórgia,"0,39",México,"1,07"
Azerbaijão,"1,54",Alemanha,"2,79",Moldávia,"0,67"
Camboja,"0,01",Gana,"0,06",Mongólia,"0,94"
Camarões,"0,09",Grécia,"1,99",Marrocos,"0,30"
Canadá,"4,04",Guatemala,"0,18",Moçambique,"0,02"
África Central,"0,02",Guiné,"0,04",Myanma,"0,04"
Chade,"0,00",Guiné-Bissau,"0,06",Omã,"1,41"
Chile,"0,85",India,"0,27",Romênia,"1,45"
China,"0,71",Indonésia,"0,41",Rússia,"3,34"
Colômbia,"0,51",Irã,"1,05",Ruanda,"0,03"
Congo,"0,13",Iraque,"1,34",Tadjiquistão,"0,18"
"Rep, Congo","0,01",Irlanda,"2,48",Tanzânia,"0,02"
Costa Rica,"0,42",Israel,"2,00",Uganda,"0,01"
Costa Marfim,"0,21",Itália,"1,96",Ucrânia,"2,31"
Croácia,"1,03",Cazaquistão,"3,59",Emirados Árabes,"8,44"
Cuba,"0,72",Quênia,"0,07",Reino Unido,"2,55"
Rep. Theca,"2,98",Kuait,"7,86",Estados Unidos,"5,27"
