Mes,Dia,Telebrás,Indice,Mes,Dia,Telebrás,Indice,Mes,Dia,Telebrás,Indice
Jan,2,"34,99","43,19",Mar,2,"20,96","29,89",Mai,2,"31,23","38,62"
,4,"32,09","39,68",,6,"20,40","28,67",,3,"31,99","39,76"
,5,"32,56","40,37",,7,"18,43","26,16",,4,"32,41","40,44"
,6,"30,31","38,27",,8,"16,84","23,63",,5,"31,71","40,08"
,9,"28,91","36,28",,9,"15,06","21,38",,8,"30,86","39,14"
,10,"26,10","32,70",,10,"21,05","26,86",,9,"32,23","40,65"
,11,"28,25","34,99",,13,"20,77","26,71",,10,"31,90","40,50"
,12,"30,41","38,41",,14,"23,30","30,17",,11,"30,62","39,51"
,13,"32,00","41,04",,15,"21,99","29,39",,12,"30,95","39,98"
,16,"31,25","40,56",,16,"23,75","31,42",,15,"29,91","38,94"
,17,"32,37","42,10",,17,"22,08","29,81",,16,"29,63","38,35"
,18,"30,87","40,79",,20,"21,14","28,70",,17,"31,14","39,64"
,19,"28,63","38,09",,21,"22,45","30,06",,18,"31,23","40,08"
,20,"29,56","38,62",,22,"22,36","30,04",,19,"30,81","39,50"
,23,"28,44","37,58",,23,"23,67","31,46",,22,"31,99","40,34"
,24,"29,28","38,40",,24,"25,63","33,61",,23,"32,56","40,88"
,26,"29,84","39,27",,27,"25,73","33,72",,24,"33,31","41,00"
,27,"28,35","37,84",,28,"24,61","32,56",,25,"32,37","40,19"
,30,"27,32","35,81",,29,"24,51","31,98",,26,"30,27","39,05"
,31,"30,41","38,85",,30,"22,13","31,26",,29,"30,91","38,96"
Fev,1,"31,34","39,90",,31,"22,64","29,79",,30,"28,71","37,07"
,2,"30,78","38,98",Abr,3,"22,08","28,94",,31,"28,98","37,21"
,3,"31,44","39,44",,4,"24,33","31,25",Jun,1,"29,53","37,74"
,6,"30,59","38,30",,5,"24,98","31,80",,2,"30,91","39,66"
,7,"28,63","36,37",,6,"25,54","32,54",,5,"31,50","40,63"
,8,"27,60","35,56",,7,"25,35","31,92",,6,"30,36","39,33"
,9,"26,38","34,01",,10,"24,79","31,14",,7,"29,07","38,08"
,10,"25,26","33,08",,11,"24,23","30,18",,8,"29,01","38,18"
,13,"24,98","32,95",,12,"23,95","30,21",,9,"27,51","36,71"
,14,"24,56","31,92",,17,"24,89","31,13",,12,"28,16","37,05"
,15,"23,02","30,69",,18,"25,82","31,94",,13,"29,42","37,89"
,16,"20,96","28,64",,19,"27,23","33,31",,14,"27,88","36,65"
,17,"22,45","30,23",,20,"27,79","33,84",,16,"28,48","37,18"
,20,"21,61","29,62",,24,"29,00","35,13",,19,"28,57","36,96"
,21,"19,74","27,93",,25,"30,13","36,99",,20,"27,15","35,77"
,22,"20,49","28,72",,26,"30,69","38,26",,21,"27,88","36,32"
,23,"23,02","32,17",,27,"31,06","38,51",,22,"27,70","35,99"
,24,"23,48","32,71",,28,"30,86","38,14",,23,"27,74","35,86"
,26,"27,65","35,37",,,,,,,,
,27,"28,80","36,61",,,,,,,,
,28,"29,21","37,15",,,,,,,,
,29,"28,62","36,78",,,,,,,,
