Veículo,Preço,Comprimento,Motor,N/I
Asia Towner,9.440,"3,36",40,I
Audi A3,38.850,"4,15",125,I
Chevrolet Astra,10.532,"4,11",110,N
Chevrolet Blazer,16.346,"4,60",106,N
Chevrolet Corsa,6.176,"3,73",60,N
Chevrolet Tigra,12.890,"3,92",100,I
Chevrolet Vectra,13.140,"4,47",110,N
Chrysler Neon,31.640,"4,36",115,I
Dodge Dakota,11.630,"4,98",121,N
Fiat Fiorino,6.700,"4,16",76,N
Fiat Marea,12.923,"4,39",127,N
Fiat Mille,5.257,"3,64",57,N
Fiat Palio,6.260,"3,73",61,N
Fiat Siena,7.780,"4,10",61,I
Ford Escort,10.767,"4,20",115,I
Ford Fiesta,6.316,"3,83",52,N
Ford Ka,5.680,"3,62",54,N
Ford Mondeo,33.718,"4,56",130,I
Honda Civic,14.460,"4,45",106,N
Hyundai Accent,21.500,"4,12",91,I
Peugeot 106,13.840,"3,68",50,I
Renault Clio,13.700,"3,70",74,I
Toyota Corolla,15.520,"4,39",116,N
Toyota Perua,24.632,"4,40",96,N
VW Gol,6.340,"3,81",54,N
VW Golf,22.200,"4,15",100,I
VW Parati,9.300,"4,08",69,N
VW Polo,12.018,"4,14",99,I
VW Santana,11.386,"4,57",101,N
VW Saveiro,7.742,"4,38",88,N
